match_number,crashNumber,players,max_bet,min_bet,total bet,total_profit
1,1.29,12,50000,10,109241,-89877
2,1.37,11,10000,10,16891,-16441
3,3.05,8,50000,10,52797,-49845
4,43.34,13,5684,10,13745,31431
5,1.94,13,69002,10,83609,-75679
6,1.11,9,7684,10,16958,-16958
7,6.30,9,110000,70,113053,-107943
8,1.53,10,110000,10,148679,-148380
9,1.49,9,1237848,10,1241024,544165
10,1.12,10,100000,10,103481,-103481
11,2.15,7,50000,70,69481,-31605
12,3.16,7,3842,10,7181,337
13,3.91,7,50000,10,56481,117290
14,1.47,7,2628,10,5532,-5139
15,2.57,7,50000,10,53323,-48345
16,1.48,7,5256,10,8870,-8353
17,1.73,9,250000,10,266035,-265442
18,1.10,8,11528,10,17939,-16304
19,18.38,5,250000,70,252339,271032
20,2.37,9,9386,10,11941,7280
21,1.57,7,125000,10,126825,-126482
22,13.34,6,1969,10,3134,9358
23,6.81,13,500,10,4031,2715
24,1.01,12,2120,10,7032,-7032
25,22.65,10,6986,70,12623,35929
26,1.72,12,3000,10,8694,-3067
27,1.00,8,2000,10,5628,-5628
28,1.31,10,3000,70,7419,-7085
29,1.38,10,50000,10,66494,-66195
30,1.10,9,9841,10,17905,-17905
31,4.16,9,100000,70,108379,222485
32,1.11,8,7000,10,10883,-10883
33,2.51,6,8000,70,11681,-5737
34,1.27,7,10000,10,20390,-20036
35,1.63,8,110000,10,121922,-120878
36,9.72,8,11000,10,13665,-5669
37,1.26,5,1500,10,2011,-1506
38,17.25,8,100000,10,103183,335607
39,1.78,10,10000,10,18060,-14696
40,2.86,11,50000,10,59242,-54626
41,1.17,12,16652,10,21093,-20967
42,21.84,5,1500,70,1990,9105
43,3.03,14,75000,10,91144,31008
44,1.00,11,110000,10,123874,-123874
45,1.31,9,50000,70,53975,-52216
46,1.33,7,780,10,2331,-1816
47,1.35,6,12315,10,13888,-13071
48,11.23,5,888,10,1378,3622
49,1.00,6,75000,10,126310,-126310
50,3.57,3,100000,70,100220,-99971
51,1.95,5,2600,10,3723,1088
52,1.23,5,200000,10,203185,-203089
53,2.25,8,150000,10,156035,176006
54,3.47,8,150000,10,157608,215898
55,4.59,9,2000,10,4555,5742
56,1.59,9,250000,10,256253,-255974
57,6.45,6,2000,10,3677,5507
58,6.53,9,6666,10,20548,21935
59,1.64,10,10000,10,19870,-11068
60,1.56,5,2000,10,2685,-2439
61,5.43,5,2000,10,4397,10219
62,5.76,8,150000,10,160666,198427
63,1.63,5,1881,10,2132,-1927
64,1.00,13,3762,10,7579,-7579
65,2.04,10,100000,66,106437,-106009
66,3.06,8,100000,10,101801,-99847
67,1.24,8,100000,10,103953,-103857
68,1.50,10,50000,10,55873,-52871
69,1.54,10,150000,10,180989,-180542
70,458.87,6,150000,10,161568,356715
71,2.79,9,250000,10,256596,393932
72,1.33,8,25000,10,33629,-31324
73,4.80,6,12500,10,15563,-11772
74,2.59,8,4166,10,7243,-899
75,2.33,5,136,10,390,261
76,14.95,8,8600,10,10349,5888
77,1.95,4,127,10,284,-188
78,1.58,6,150000,10,152975,-152879
79,1.12,11,10000,10,18057,-17850
80,4.47,10,10000,70,16216,1575
81,1.76,9,10000,10,13869,-8763
82,1.92,8,100000,10,102320,-101898
83,1.90,10,10000,10,16927,-8477
84,1.01,9,150000,10,153622,-153622
85,82.05,7,50000,70,63070,138083
86,1.05,13,250000,10,305621,-305621
87,12.76,12,250000,70,402647,1693726
88,1.54,11,10000,10,15439,-14897
89,3.75,12,50000,10,105201,55027
90,1.29,9,1125,10,2003,-602
91,2.54,11,50000,10,66479,-61226
92,1.06,11,50000,10,52377,-52377
93,1.29,10,50000,22,55075,-54779
94,2.97,9,12500,10,14694,-10940
95,1.72,8,100000,10,100910,-100435
96,7.04,11,100000,10,105914,348961
97,1.02,14,42000,10,55155,-55155
98,1.18,10,11250,50,13835,-13491
99,3.10,14,50000,50,55461,-50296
100,1.14,8,650,10,1980,-1980
101,1.16,8,50000,70,51406,-51406
102,2.92,12,50000,50,54314,-52726
103,1.07,8,35000,10,48510,-48510
104,3.89,9,1500,50,2775,3872
105,2.17,12,100000,10,104464,-98272
106,1.34,9,2612,50,6432,-6073
107,23.59,10,10000,10,17872,3981
108,2.38,9,424583,10,425787,-424078
109,2.14,8,2020,10,4322,1587
110,1.99,9,10000,10,13526,-8303
111,6.07,7,100000,10,100969,206305
112,1.20,6,2000,10,3897,-3894
113,1.82,5,1000,10,1515,-1260
114,4.20,9,4000,10,8535,5167
115,3.09,9,4000,10,4717,1812
116,1.23,8,1920,10,3305,-3293
117,1.26,10,3000,10,8411,-8156
118,4.47,9,2750,10,4985,2945
119,1.67,9,5635,10,10970,-4870
120,4.43,9,100000,10,111043,-98214
121,4.04,22,100000,10,107179,-99909
122,15.75,15,2449,10,6967,8986
123,2.29,14,515000,10,526994,286257
124,2.74,9,1600,10,5603,-1687
125,2.08,16,1688,10,7673,-742
126,1.04,16,50000,10,57110,-56737
127,10.85,13,50000,70,59174,145176
128,1.43,15,1881,10,9476,-9298
129,1.19,11,1619,10,6855,-6855
130,2.73,13,50000,31,58043,53193
131,1.36,10,10334,10,24329,-12451
132,1.00,13,3200,10,11300,-11300
133,1.99,12,3400,10,7849,-5465
134,3.78,7,6600,10,9443,9038
135,4.61,9,100000,10,101581,-98110
136,2.44,9,2331,10,4125,1959
137,8.99,6,100000,10,102210,163539
138,4.08,11,10000,10,15565,6480
139,3.36,10,35000,10,48516,99832
140,3.18,8,1570,10,4182,1821
141,1.59,14,150000,10,158267,-158113
142,2.35,8,844,10,1848,1281
143,1.69,16,350000,10,359182,235825
144,6.17,9,2800,10,6090,13708
145,1.08,13,35000,10,41524,-41524
146,1.11,11,2448,10,5305,-5305
147,10.49,13,2400,10,8659,23515
148,1.27,13,35000,10,40222,-123167
149,1.09,11,1300,10,5566,-5566
150,4.15,9,2300,10,6508,8034
151,1.44,7,1243,10,3012,-1670
152,1.00,8,1122,10,2141,-2141
153,4.46,9,1310,50,4471,756
154,2.97,7,2500,10,4136,-3735
155,1.97,5,400,10,830,-670
156,1.54,5,1250,10,2140,-1533
157,1.59,7,200000,10,204573,-204413
158,6.60,8,2500,10,7162,2816
159,1.23,7,5000,10,6510,-6498
160,1.05,9,100000,10,104241,-104241
161,1.09,8,50000,20,53460,-53460
162,1.00,6,2500,150,4880,-4880
163,2.70,5,3430,20,6032,367
164,1.19,8,2500,10,7892,-7892
165,13.88,9,250000,20,453144,356599
166,1.00,9,6500,10,13474,-13474
167,2.59,10,100000,20,162040,-159520
168,3.80,8,3950,10,6885,4811
169,4.90,4,750,10,870,-718
170,1.92,6,6625,10,7755,-7566
171,2.19,7,50000,10,61205,-55607
172,7.70,3,100000,10,106635,333908
173,1.19,2,6626,70,452,-6757
174,3.44,6,2500,139,5341,2074
175,3.37,7,150000,10,154980,153680
176,9.50,9,330350,10,376850,511094
177,1.05,21,5808,10,16957,-16957
178,1.66,9,5808,10,10036,-2751
179,1.68,14,3071,10,11588,-7083
180,1.67,14,137500,10,145556,-143438
181,1.42,10,2905,10,7113,-6396
182,1.00,11,137500,10,146345,-146345
183,1.12,11,137500,70,144259,-143953
184,2.57,5,2906,99,4095,-3405
185,6.51,6,1909,10,4068,-1442
186,1.00,11,330350,10,335834,-335834
187,6.60,7,1250,70,2794,-1326
188,1.04,9,5808,10,11978,-11978
189,2.89,8,5808,70,14384,2053
190,2.64,9,20000,10,38006,-11986
191,2.30,9,137500,10,167284,-154783
192,1.05,7,1993,10,7786,-7786
193,1.59,6,68750,70,72396,-71737
194,1.10,5,1993,10,4102,-4102
195,1.36,9,100000,70,108628,-107969
196,1.44,9,6500,10,19551,-12489
197,1.07,7,1375,10,4393,-4393
198,4.40,8,50000,70,54416,111119
199,1.45,7,30795,10,38128,-7014
200,1.00,5,2375,10,5807,-5807
201,30.03,6,4000,70,7647,56347
202,156.97,7,50000,10,56076,236089
203,14.40,7,775000,10,778893,896500
204,76.37,7,2020,10,5847,125951
205,3.33,10,50000,10,62461,-53081
206,2.10,14,4300,10,13494,-10803
207,1.22,8,2500,10,5833,-4072
208,1.24,8,1542,10,4950,-2679
209,1.68,8,1542,10,4887,-2942
210,3.63,8,3000,10,5963,4133
211,1.74,8,370000,10,373727,-371321
212,1.25,7,370000,10,373338,-373211
213,1.22,7,1542,10,3654,-3527
214,2.04,6,1542,10,3029,-979
215,1.47,6,1542,10,3079,-2952
216,1.19,7,4200,10,7587,-2474
217,1.41,10,4200,70,7697,-2878
218,14.74,10,5000,10,10382,8368
219,2.92,13,370000,10,389427,240270
220,14.74,10,9999,10,18167,41169
221,2.52,11,2250,10,8383,-5914
222,1.25,10,2500,10,10348,-7596
223,2.05,11,4200,10,12563,-1889
224,1.49,11,4500,10,14174,-8558
225,1.28,10,3000,10,8322,-5463
